2025-04-26 14:09:48,970 - INFO - Episode 120, Reward: -3.00, Avg Reward (last 100): -7.48, Epsilon: 0.941, Loss: 29.1988, Steps: 1
2025-04-26 14:09:49,000 - INFO - Episode 121, Reward: -10.00, Avg Reward (last 100): -7.69, Epsilon: 0.941, Loss: 25.5863, Steps: 8
2025-04-26 14:09:49,034 - INFO - Episode 122, Reward: -39.00, Avg Reward (last 100): -8.20, Epsilon: 0.940, Loss: 24.9303, Steps: 13
2025-04-26 14:09:49,060 - INFO - Episode 123, Reward: 0.00, Avg Reward (last 100): -8.09, Epsilon: 0.940, Loss: 22.2017, Steps: 5
2025-04-26 14:09:49,089 - INFO - Episode 124, Reward: -20.00, Avg Reward (last 100): -8.39, Epsilon: 0.939, Loss: 27.3580, Steps: 8
2025-04-26 14:09:49,113 - INFO - Episode 125, Reward: 1.00, Avg Reward (last 100): -8.42, Epsilon: 0.939, Loss: 28.9110, Steps: 3
2025-04-26 14:09:49,142 - INFO - Episode 126, Reward: -15.00, Avg Reward (last 100): -8.62, Epsilon: 0.938, Loss: 26.4913, Steps: 7
2025-04-26 14:09:49,164 - INFO - Episode 127, Reward: 9.00, Avg Reward (last 100): -8.65, Epsilon: 0.938, Loss: 34.3547, Steps: 1
2025-04-26 14:09:49,188 - INFO - Episode 128, Reward: -15.00, Avg Reward (last 100): -8.64, Epsilon: 0.938, Loss: 26.0273, Steps: 3
2025-04-26 14:09:49,221 - INFO - Episode 129, Reward: -40.00, Avg Reward (last 100): -8.25, Epsilon: 0.937, Loss: 27.7971, Steps: 13
2025-04-26 14:09:49,246 - INFO - Episode 130, Reward: 6.00, Avg Reward (last 100): -8.25, Epsilon: 0.937, Loss: 28.5426, Steps: 4
2025-04-26 14:09:49,270 - INFO - Episode 131, Reward: 14.00, Avg Reward (last 100): -8.27, Epsilon: 0.936, Loss: 26.0610, Steps: 4
2025-04-26 14:09:49,299 - INFO - Episode 132, Reward: -8.00, Avg Reward (last 100): -8.37, Epsilon: 0.936, Loss: 25.1129, Steps: 8
2025-04-26 14:09:49,322 - INFO - Episode 133, Reward: 13.00, Avg Reward (last 100): -8.11, Epsilon: 0.935, Loss: 21.0421, Steps: 2
2025-04-26 14:09:49,344 - INFO - Episode 134, Reward: 11.00, Avg Reward (last 100): -7.81, Epsilon: 0.935, Loss: 27.0105, Steps: 1
2025-04-26 14:09:49,383 - INFO - Episode 135, Reward: -46.00, Avg Reward (last 100): -8.08, Epsilon: 0.934, Loss: 25.8188, Steps: 17
2025-04-26 14:09:49,412 - INFO - Episode 136, Reward: -1.00, Avg Reward (last 100): -7.89, Epsilon: 0.934, Loss: 24.9937, Steps: 6
2025-04-26 14:09:49,437 - INFO - Episode 137, Reward: 3.00, Avg Reward (last 100): -7.87, Epsilon: 0.933, Loss: 22.6629, Steps: 4
2025-04-26 14:09:49,463 - INFO - Episode 138, Reward: -6.00, Avg Reward (last 100): -7.98, Epsilon: 0.933, Loss: 24.6858, Steps: 4
2025-04-26 14:09:49,489 - INFO - Episode 139, Reward: 7.00, Avg Reward (last 100): -7.93, Epsilon: 0.932, Loss: 24.3174, Steps: 4
2025-04-26 14:09:49,511 - INFO - Episode 140, Reward: 11.00, Avg Reward (last 100): -7.92, Epsilon: 0.932, Loss: 19.9223, Steps: 1
2025-04-26 14:09:49,536 - INFO - Episode 141, Reward: 2.00, Avg Reward (last 100): -7.91, Epsilon: 0.931, Loss: 22.0780, Steps: 3
2025-04-26 14:09:49,560 - INFO - Episode 142, Reward: -13.00, Avg Reward (last 100): -8.05, Epsilon: 0.931, Loss: 29.1731, Steps: 4
